udpmlgcs,vwdimcustomerpii,CustomerPUIDHash,This atrrribte is derived by calculating hex string result of SHA-2 family of CustomerPUId column coming from Cornestone source.,Ayushi,Updated as per L3 comment,,Meenakshi,Ok,Davitt,"It is not a decode logic. change accordingly.
Logic part is not clear.",,Himanshu,,,Attribute,
udpmlgcs,vwdimcustomerpii,DataSource,Hardcoded as 'Dynamics' ,Ayushi,,,Meenakshi,Ok,Davitt,ok,Ok,Himanshu,,,Attribute,
udpmlgcs,vwdimcustomerpii,CustomerEmail,Direct mapping to Email column coming from Cornestone source,Ayushi,,,Meenakshi,Ok,Davitt,ok,Ok,Himanshu,,,Attribute,
udpmlgcs,vwdimcustomerpii,CustomerName,Hardcoded  as 'Unspecified',Ayushi,,,Meenakshi,Ok,Davitt,ok,Ok,Himanshu,,,Attribute,
udpmlgcs,vwdimcustomerpii,CustomerPUID,Direct mapping to CustomerId column coming from Cornestone source,Ayushi,,,Meenakshi,Ok,Davitt,ok,Ok,Himanshu,,,Attribute,


,,,,,,L1 Review,,L2 Review,,L3: IAR Review,,,Purview Upload,,,
Vanilla DB Name DBName,EntityName,AttributeName,TechnicalDescription,Dev Name,Dev Comment,L1 Review Comment,L1 ReviewerName,L2 Review Comment,L2 ReviewerName,Review Comment L3,L3Status (ActionOnDev/Done),L3ReviewerName,Shared With Framework,Uploaded To Purview,Entity/Attribute Desc,
udpmlgcs,vwdimbusinesssegmentunit,,"This Table contains HardCoded BusinessSegment Details for Consumer such as BusinessSegmentName,BusinessSubSegmentName,BusinessUnitName. using for Differentiate between MLGCS and CAPS  LOBs (Line Of Business)",KB,updated as per L2 comments,,Sundar,Ok,Davitt,,Ok,,,,Entity,
udpmlgcs,vwdimbusinesssegmentunit,BusinessSegmentUnitKey,"Surrogate Key generated on combination of BusinessSegmentName,BusinessSubSegmentName and BusinessUnitName. ",KB,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwdimbusinesssegmentunit,CSSCreatedDateTime,Timestamp in UTC at which record is inserted by ETL process in UDP,KB,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
